words,links,capital_words,spam_word_count,is_spam
33,1,2,2,0
94,1,2,2,0
888,2,10,0,1
166,1,2,0,0
260,2,7,1,0
285,2,6,2,0
58,1,0,1,0
840,7,24,5,1
58,2,1,0,0
164,2,4,2,0
246,0,1,2,0
194,8,5,8,1
216,0,6,6,0
202,1,1,2,0
344,1,0,0,0
242,1,1,3,0
527,4,20,9,1
142,9,24,10,1
26,3,2,5,0
162,3,3,5,0
784,4,12,10,1
211,1,0,2,0
965,3,14,8,1
776,3,30,3,1
244,2,2,2,0
160,1,2,2,0
95,1,3,1,0
961,7,1,4,1
143,4,21,2,1
183,6,22,6,1
533,4,5,5,1
209,2,0,1,0
121,0,0,2,0
221,0,6,1,0
275,2,2,2,0
193,2,0,0,0
131,0,2,0,0
934,7,11,4,1
82,1,3,2,0
278,2,3,1,0
139,1,0,1,0
148,2,15,3,1
119,2,9,6,1
150,5,1,7,1
545,5,23,10,1
152,2,1,2,0
660,6,4,7,1
105,1,3,5,0
255,2,0,0,0
161,4,4,1,1
186,0,4,0,0
149,1,0,1,0
411,2,3,2,0
115,4,10,0,0
122,1,3,1,0
111,1,1,1,0
174,7,12,10,1
142,0,2,0,0
142,9,3,5,1
290,8,6,7,1
61,0,10,3,0
331,2,2,4,0
284,1,3,0,0
244,2,1,2,0
326,3,10,5,0
133,1,2,2,0
460,5,19,4,1
218,3,12,10,1
457,2,1,2,0
103,4,0,2,0
57,2,0,4,0
106,0,2,1,0
190,3,2,4,0
145,2,2,0,0
450,1,7,0,0
528,4,17,7,1
270,2,5,2,1
45,0,2,0,0
385,2,1,2,0
257,1,10,1,0
156,2,11,10,1
54,1,6,0,0
165,1,0,0,0
255,8,21,9,1
270,0,4,5,0
163,3,1,4,0
600,5,24,8,1
116,10,25,7,1
133,4,23,3,1
997,4,30,3,1
274,0,1,1,0
184,2,3,1,0
364,0,1,0,0
21,0,1,1,0
163,2,25,3,1
631,6,22,0,1
83,1,2,1,0
290,1,2,2,0
318,2,3,0,0
165,0,10,1,0
754,6,17,9,1
109,1,5,2,0
300,1,4,1,0
56,1,2,2,0
56,9,3,3,1
519,4,0,4,1
138,5,8,7,1
199,0,2,4,0
812,9,13,7,1
81,5,23,3,1
115,6,20,3,1
994,8,16,0,1
395,4,6,10,1
948,8,2,8,1
203,0,7,2,0
737,2,22,1,1
905,4,11,8,1
368,2,26,9,1
35,5,1,1,0
183,2,0,1,0
366,3,0,5,1
730,3,17,10,1
59,2,13,9,1
426,1,0,0,0
363,2,0,0,0
20,1,3,0,0
218,1,3,2,0
348,6,1,7,1
269,0,1,2,0
79,0,8,6,0
150,1,10,1,0
203,0,10,2,0
198,2,0,0,0
488,8,20,1,1
615,9,7,6,1
217,1,1,2,0
94,1,2,0,0
163,0,3,4,0
116,5,24,10,1
168,1,0,1,0
96,1,0,0,0
639,2,2,5,1
244,6,6,3,1
197,1,10,0,0
138,7,30,3,1
959,9,28,10,1
97,2,2,2,0
196,1,1,2,0
181,2,3,1,0
248,0,12,6,1
130,7,2,6,1
264,2,1,0,0
64,1,2,2,0
153,1,2,0,0
121,7,5,8,1
765,6,9,7,1
567,1,16,4,1
871,3,10,8,1
645,2,9,3,1
351,1,0,0,0
201,1,0,2,0
80,2,0,2,0
121,1,2,3,0
295,4,3,0,0
613,6,5,9,1
243,1,5,2,0
156,8,24,2,1
805,10,3,1,1
85,9,7,3,1
259,3,3,3,0
559,10,21,10,1
193,10,7,4,1
693,9,26,2,1
234,1,3,1,0
182,2,0,5,0
237,0,3,2,0
289,0,1,1,0
113,0,3,2,0
190,3,26,2,1
211,1,2,2,0
151,1,0,1,0
476,2,1,9,1
710,8,12,9,1
150,1,1,0,0
142,3,26,9,1
161,1,3,1,0
189,2,26,1,1
978,6,3,3,1
347,9,8,0,1
231,0,1,2,0
58,3,1,10,1
134,9,2,6,1
281,2,7,2,0
133,0,20,6,1
226,2,2,0,0
236,2,1,2,0
198,1,7,3,0
169,2,3,3,0
229,1,0,6,0
299,0,2,0,0
287,2,4,0,0
64,3,27,3,1
526,8,23,9,1
106,8,17,3,1
671,7,7,9,1
256,0,1,2,0
165,1,10,1,0
430,8,16,3,1
242,0,5,1,0
809,2,5,6,1
194,0,3,1,0
464,2,3,1,0
43,1,1,0,0
58,0,2,2,0
267,5,2,1,0
283,0,0,1,0
137,4,3,0,0
994,9,20,1,1
275,1,5,0,0
284,2,3,1,0
679,7,14,7,1
195,0,7,1,0
162,7,30,10,1
142,2,1,0,0
750,3,18,3,1
144,6,8,4,1
279,5,2,2,0
82,10,8,0,1
73,1,3,1,0
140,8,15,5,1
197,0,1,6,0
849,2,10,5,1
33,2,2,2,0
195,5,1,1,0
125,8,28,4,1
80,0,2,2,0
260,2,10,2,0
695,2,0,3,1
80,4,19,6,1
195,9,0,8,1
114,4,2,1,0
97,7,4,6,1
243,1,1,0,0
62,1,1,0,0
306,0,26,10,1
633,6,20,6,1
144,8,27,10,1
739,3,5,1,1
121,10,19,0,1
830,5,29,5,1
62,2,27,8,1
161,0,1,2,0
637,2,27,6,1
151,0,0,2,0
200,0,1,1,0
127,2,10,1,0
470,2,0,3,0
267,2,1,0,0
166,2,5,4,1
188,2,9,3,0
979,5,1,7,1
80,3,1,6,0
52,2,0,0,0
165,3,4,0,0
811,10,10,8,1
203,2,2,0,0
141,2,3,0,0
87,0,3,2,0
341,4,8,2,0
432,9,14,3,1
806,10,23,7,1
510,4,21,9,1
379,2,11,8,1
259,1,3,0,0
824,2,20,4,1
167,5,3,4,0
258,2,1,4,1
39,0,0,2,0
201,0,1,0,0
269,2,3,2,0
218,2,5,0,0
78,6,5,10,1
151,3,26,10,1
34,0,0,2,0
498,7,10,5,1
107,2,0,2,0
730,4,15,0,1
119,9,9,10,1
119,0,3,1,0
99,4,2,0,0
447,1,8,2,0
56,4,30,8,1
212,3,7,0,0
204,2,3,0,0
765,4,6,10,1
288,1,2,5,0
858,5,12,3,1
177,3,19,4,1
759,2,1,2,1
281,1,4,6,0
217,1,22,4,1
142,0,0,2,0
954,9,8,6,1
284,1,3,2,0
175,2,2,2,0
110,9,12,0,1
405,0,5,2,1
168,0,7,10,1
297,1,8,2,0
79,2,3,6,0
157,2,13,5,1
151,0,0,5,0
96,1,10,1,0
115,1,2,0,0
138,9,5,9,1
256,1,3,1,0
74,0,1,1,0
418,1,1,2,0
638,5,29,8,1
259,0,0,1,0
103,1,3,1,0
718,6,8,4,1
412,9,22,10,1
989,10,6,2,1
167,0,0,1,0
116,2,24,1,1
169,1,2,6,0
649,9,5,9,1
226,0,0,4,0
972,8,1,8,1
174,0,2,1,0
75,1,0,2,0
145,0,16,3,1
302,2,2,2,0
194,1,3,1,0
943,10,7,7,1
46,0,3,2,0
412,1,2,2,0
788,7,25,10,1
397,1,1,2,0
217,0,9,2,0
226,1,2,2,0
20,2,3,0,0
207,4,3,0,0
901,3,28,6,1
938,6,0,9,1
54,2,0,0,0
290,0,9,3,0
233,0,0,1,0
339,2,1,2,0
131,0,10,4,1
193,2,1,1,1
179,0,1,2,0
102,2,0,2,0
726,2,22,4,1
218,6,18,9,1
188,1,0,2,0
163,5,0,1,0
610,4,25,3,1
172,2,2,2,0
99,2,21,7,1
148,0,1,6,0
819,8,14,7,1
528,2,12,0,1
404,5,10,1,1
986,5,27,5,1
78,0,1,2,0
118,5,30,7,1
127,2,0,4,0
892,7,3,4,1
49,0,3,2,0
98,2,3,1,0
197,2,10,4,1
468,9,12,7,1
571,10,16,4,1
351,4,27,2,1
421,2,3,0,0
88,4,2,2,0
247,2,2,0,0
250,4,19,5,1
328,10,30,10,1
200,1,1,1,0
125,1,0,0,0
477,10,15,8,1
614,4,28,0,1
979,2,19,6,1
637,5,8,10,1
234,1,0,2,0
874,8,5,8,1
126,0,13,10,1
599,4,15,10,1
57,1,2,4,0
169,9,12,8,1
459,2,0,1,0
872,7,1,10,1
528,7,5,8,1
108,0,0,9,1
414,3,14,3,1
480,2,3,0,0
799,7,28,5,1
136,2,0,5,0
149,2,0,0,0
331,3,8,10,1
204,1,1,3,0
208,0,0,0,0
56,10,7,4,1
25,0,2,0,0
381,1,1,0,0
75,0,0,2,0
188,2,22,6,1
384,2,1,0,0
720,7,8,10,1
850,6,4,3,1
337,0,9,0,0
82,5,30,8,1
476,8,18,9,1
96,7,5,10,1
82,4,5,3,1
217,2,10,0,0
394,9,3,8,1
297,2,1,2,0
83,0,3,2,0
202,1,5,3,0
146,0,2,1,0
137,0,3,1,0
215,2,0,4,0
78,5,3,2,0
126,0,1,2,0
256,1,1,2,0
640,2,29,7,1
34,2,6,2,0
378,2,2,1,0
855,2,15,3,1
446,8,3,10,1
148,3,0,1,0
452,3,14,4,1
108,4,3,0,0
112,3,13,7,1
638,4,5,9,1
241,2,10,2,0
300,0,1,1,0
265,2,1,2,0
282,1,1,0,0
243,10,23,7,1
273,2,0,3,0
569,10,30,8,1
290,0,3,6,0
278,2,7,7,1
148,2,0,2,0
102,2,0,0,0
217,2,3,2,0
177,6,20,3,1
133,3,20,1,1
303,4,0,1,0
699,3,5,3,1
476,0,1,2,0
254,1,0,2,0
200,2,2,5,0
309,3,3,10,1
972,7,13,5,1
226,1,10,1,0
682,3,13,10,1
238,2,2,1,0
189,0,2,6,0
121,6,20,9,1
474,1,2,2,0
100,3,21,1,1
57,8,15,6,1
952,8,27,5,1
150,0,3,2,0
151,4,10,1,0
131,7,20,10,1
865,10,5,6,1
853,10,18,3,1
83,1,0,0,0
599,2,18,9,1
179,5,7,8,1
846,2,23,1,1
151,1,2,1,0
867,2,1,8,1
207,0,3,1,0
917,6,2,3,1
489,2,1,0,0
168,3,6,0,1
260,2,2,0,0
183,0,2,0,0
155,0,7,0,0
895,4,22,2,1
153,5,2,6,1
405,9,1,4,1
145,1,3,2,0
927,8,9,9,1
192,1,1,1,0
463,1,3,1,0
119,0,2,0,0
292,0,1,0,0
121,2,10,3,1
814,7,7,7,1
244,1,0,0,0
173,1,7,2,1
275,2,3,0,0
278,7,18,10,1
698,8,14,0,1
152,3,20,2,1
187,0,2,2,0
324,8,19,10,1
875,2,21,7,1
275,0,8,4,0
823,5,9,9,1
220,9,24,2,1
431,6,15,9,1
131,1,0,1,0
838,2,6,9,1
253,0,2,5,0
895,5,21,4,1
107,3,29,10,1
292,2,3,0,0
170,5,1,0,0
159,1,1,1,0
602,6,12,10,1
371,0,1,3,1
677,7,28,7,1
247,5,2,1,0
265,3,3,2,0
284,2,6,1,0
738,7,22,8,1
141,1,2,1,0
195,2,28,3,1
178,2,1,2,0
100,2,2,1,0
123,9,2,6,1
238,0,2,2,0
79,4,25,6,1
418,7,20,3,1
130,2,0,2,0
235,1,3,2,0
254,0,3,1,0
29,0,1,2,0
276,1,7,2,0
638,6,21,1,1
770,0,15,7,1
297,5,2,0,0
298,0,2,0,0
43,0,0,0,0
127,3,24,5,1
420,2,20,5,1
128,1,24,1,1
28,1,2,0,0
278,4,0,0,0
345,2,1,1,0
87,1,28,7,1
865,5,7,3,1
379,0,1,0,0
284,9,26,6,1
454,0,0,0,0
148,2,7,1,0
153,3,30,3,1
207,7,25,8,1
30,0,1,1,0
330,1,3,3,1
770,9,0,7,1
402,2,3,2,0
78,6,17,6,1
903,5,5,3,1
227,3,1,1,0
679,10,7,6,1
200,2,6,0,0
278,4,1,3,0
134,4,15,7,1
214,0,3,1,0
23,0,1,6,0
23,0,3,2,0
141,1,10,0,0
766,10,11,10,1
610,8,18,3,1
157,1,2,0,0
186,8,1,7,1
192,3,13,5,1
816,0,20,7,1
40,2,3,2,0
103,0,1,0,0
157,0,23,8,1
587,6,1,10,1
63,1,2,0,0
125,2,0,2,0
254,8,5,5,1
140,2,0,1,0
734,8,22,3,1
158,2,4,1,0
68,2,2,0,0
273,2,3,1,0
97,2,1,1,0
197,2,3,1,0
962,10,8,3,1
74,0,2,0,0
174,0,4,2,0
661,7,14,7,1
131,10,16,7,1
38,1,6,1,0
42,2,3,1,0
601,8,5,9,1
179,9,29,3,1
438,7,5,6,1
505,10,3,6,1
416,2,0,2,0
183,5,24,9,1
716,3,28,1,1
591,1,18,9,1
181,2,1,2,0
37,0,2,0,0
140,2,20,3,1
290,0,0,2,0
191,6,10,9,1
237,1,1,1,0
937,2,10,7,1
445,2,3,2,0
888,2,4,3,1
192,9,13,8,1
197,5,0,5,0
247,0,1,4,0
233,3,26,5,1
212,0,0,2,0
319,1,3,2,0
52,3,0,2,0
485,1,2,1,0
45,2,3,4,0
785,4,22,6,1
418,0,2,2,0
170,2,2,2,0
149,6,5,0,1
393,5,8,10,1
56,3,1,5,1
33,1,1,1,0
244,9,4,10,1
253,2,3,2,0
118,2,1,0,0
427,3,3,0,0
328,2,23,3,1
38,1,3,2,0
231,1,3,4,0
379,1,0,0,0
194,2,3,3,0
263,2,3,0,0
438,1,3,5,0
198,0,2,2,0
824,1,0,8,1
343,10,21,9,1
209,1,2,2,0
536,0,13,6,1
141,6,1,0,1
473,10,11,4,1
41,0,1,2,0
975,5,27,5,1
99,0,1,1,0
268,2,1,1,0
145,6,17,7,1
405,7,17,8,1
611,4,22,4,1
686,6,20,7,1
529,2,30,9,1
434,0,1,4,0
213,2,3,3,0
162,9,21,4,1
225,2,1,2,0
70,2,7,2,0
93,1,5,2,0
717,8,22,7,1
125,0,0,0,0
789,0,14,0,1
743,6,7,0,1
190,6,13,6,1
149,2,0,1,0
490,5,7,7,1
195,4,0,2,0
180,9,3,10,1
374,3,17,3,1
134,2,16,2,1
286,1,10,2,0
415,4,21,10,1
87,3,0,2,0
251,8,10,9,1
684,0,19,2,1
56,2,3,0,0
136,6,18,4,1
151,1,0,6,0
46,1,5,1,0
554,0,28,10,1
75,0,2,10,1
137,2,30,10,1
169,2,0,2,0
189,0,2,0,0
199,2,0,4,1
142,0,0,1,0
937,3,20,4,1
880,1,17,7,1
91,5,4,4,1
210,3,5,9,1
133,2,1,0,0
800,3,15,3,1
192,9,5,10,1
137,2,16,8,1
130,3,13,5,1
213,0,4,0,0
210,0,0,4,0
468,7,20,0,1
442,0,23,5,1
881,5,26,4,1
242,2,2,1,0
81,0,9,1,0
249,7,10,9,1
179,2,20,0,1
133,1,5,0,0
39,0,0,0,0
176,2,1,2,0
78,1,9,2,0
165,4,3,1,0
477,2,29,3,1
175,1,1,0,0
983,5,4,7,1
445,1,2,1,0
38,2,6,1,0
162,1,1,3,0
200,2,3,0,0
184,1,2,0,0
56,9,11,8,1
67,5,2,2,0
156,2,2,5,0
982,6,8,8,1
465,2,3,2,0
179,4,13,10,1
247,0,0,0,0
88,1,25,10,1
662,4,13,8,1
299,8,0,10,1
23,1,2,0,0
173,2,1,5,0
492,10,5,3,1
87,1,3,1,0
239,2,0,0,0
638,10,20,2,1
333,2,2,4,0
126,3,21,9,1
213,1,3,0,0
648,7,21,4,1
95,5,1,0,0
971,10,19,4,1
243,2,2,4,0
220,2,2,1,0
871,8,5,4,1
262,2,3,2,0
368,2,16,2,1
200,1,0,0,0
195,2,3,0,0
106,10,11,10,1
99,1,0,2,0
558,6,0,10,1
224,1,3,0,0
157,1,1,1,0
88,1,5,1,0
927,1,21,5,1
155,2,17,5,1
885,3,14,5,1
623,8,10,2,1
209,1,2,0,0
645,6,3,8,1
281,0,30,4,1
609,8,20,8,1
269,0,15,5,1
904,3,5,2,1
520,9,8,10,1
54,4,3,1,0
217,8,24,2,1
126,2,0,2,0
349,3,6,10,1
57,1,1,2,0
259,3,3,2,0
154,3,27,0,1
50,0,3,4,1
85,0,2,1,0
408,1,0,1,0
277,1,5,2,0
414,3,26,10,1
184,8,2,6,1
97,0,0,0,0
959,2,30,3,1
226,0,3,0,0
247,1,3,0,0
962,2,19,8,1
819,9,15,4,1
124,9,7,5,1
107,6,14,3,1
157,2,24,6,1
863,2,22,10,1
205,0,0,2,0
21,2,1,1,0
242,0,0,2,0
100,0,3,1,0
310,9,16,1,1
421,7,17,5,1
232,6,29,9,1
472,9,20,1,1
148,0,0,2,0
862,3,2,4,1
194,3,19,3,1
103,2,2,2,0
633,8,19,7,1
242,1,1,4,0
532,9,15,10,1
167,2,0,2,0
60,2,3,2,0
943,10,24,9,1
182,2,5,4,0
122,9,5,9,1
233,1,0,1,0
843,5,8,5,1
148,3,5,1,0
226,2,0,1,0
107,0,2,0,0
810,4,15,5,1
108,6,9,2,1
270,2,2,4,0
178,0,9,6,0
156,3,9,5,1
45,0,4,1,0
278,5,2,0,0
149,3,30,2,1
119,5,23,1,1
184,2,3,2,0
193,0,0,2,0
163,3,5,9,1
183,4,2,3,0
100,1,0,1,0
624,9,11,9,1
865,4,1,10,1
372,9,21,5,1
231,4,2,2,0
147,7,25,5,1
77,2,0,0,0
287,1,3,1,0
110,3,0,2,0
248,2,1,1,0
130,2,1,6,0
236,1,0,2,0
441,0,3,2,0
333,10,0,0,1
682,4,16,3,1
825,6,21,8,1
72,2,3,2,0
205,1,0,2,0
491,3,3,1,0
416,2,0,4,0
25,2,3,1,0
62,1,5,1,0
601,2,25,5,1
264,0,0,2,0
143,4,5,4,1
935,4,10,8,1
144,5,29,6,1
125,1,27,4,1
560,9,11,0,1
282,0,1,4,0
688,9,28,9,1
470,1,18,9,1
231,8,6,7,1
629,4,8,3,1
316,3,3,5,1
247,1,7,6,1
32,2,3,2,0
940,2,9,2,1
502,10,27,6,1
792,4,1,4,1
70,4,5,6,1
606,2,21,0,1
21,0,2,4,0
187,1,0,2,0
283,1,1,1,0
239,0,4,2,0
50,10,4,6,1
877,9,20,5,1
185,1,1,3,0
51,5,7,2,0
400,0,10,0,0
213,2,10,4,0
260,5,2,2,0
232,2,4,2,0
209,4,2,4,1
212,2,0,0,0
134,2,3,2,0
47,5,0,0,0
990,4,2,3,1
258,5,9,2,0
459,1,0,2,0
616,2,13,6,1
337,3,9,7,1
482,2,1,2,0
83,2,23,3,1
683,5,0,2,1
220,2,0,2,0
138,5,14,0,1
25,0,2,0,0
225,2,27,10,1
66,0,0,2,0
174,2,2,2,0
74,1,1,0,0
90,2,1,1,0
472,2,1,2,0
100,1,1,1,0
242,0,3,0,0
251,1,0,0,0
340,0,2,2,0
138,2,28,7,1
256,6,7,2,1
242,2,3,5,0
386,10,26,2,1
924,8,15,10,1
26,4,1,1,0
706,4,6,7,1
39,4,0,1,0
804,10,15,3,1
191,10,25,3,1
102,2,5,10,1
409,2,15,3,1
223,2,1,2,0
481,7,6,4,1
182,1,1,1,0
184,2,1,1,0
489,1,4,5,1
567,5,16,3,1
111,1,3,1,0
308,4,1,1,1
37,0,2,1,0
22,1,3,4,0
644,2,23,6,1
596,1,3,5,1
130,0,4,2,0
169,0,0,2,0
195,2,0,0,0
84,4,2,2,0
876,7,0,8,1
166,0,0,2,0
298,0,1,1,0
308,3,19,3,1
341,3,11,8,1
198,7,22,8,1
429,2,2,1,0
621,10,28,2,1
33,2,0,5,0
263,1,3,1,0
160,2,1,2,0
717,1,2,2,1
243,1,3,0,0
325,2,3,0,0
136,0,6,2,0
126,0,0,1,0
281,1,1,0,0
677,4,25,3,1
197,1,1,4,0
426,1,3,1,0
479,1,0,1,0
21,0,1,1,0
532,7,25,4,1
190,9,18,8,1
174,4,14,8,1
250,2,8,1,0
242,3,1,6,0
93,0,3,2,0
897,4,8,3,1
162,4,2,5,0
68,0,1,2,0
871,8,6,6,1
90,7,17,8,1
577,4,27,9,1
470,3,22,10,1
436,10,10,1,1
731,3,13,7,1
329,3,1,2,0
795,4,9,6,1
367,2,2,1,0
872,10,17,8,1
254,1,2,2,0
405,10,14,5,1
656,9,13,3,1
740,8,14,6,1
85,1,3,3,0
789,10,8,9,1
289,0,0,2,0
145,2,7,2,0
269,1,8,0,0
119,4,4,3,1
1000,3,23,3,1
74,1,0,2,0
100,7,21,6,1
465,4,12,4,1
294,2,1,0,0
510,2,27,3,1
745,2,10,8,1
57,1,10,2,0
890,10,28,8,1
197,0,1,2,0
137,1,3,0,0
396,5,7,9,1
276,8,14,6,1
190,3,3,2,0
546,4,7,4,1
958,8,11,2,1
721,3,27,3,1
107,1,0,2,0
160,1,1,0,0
156,2,2,1,0
168,9,22,0,1
45,1,1,1,0
121,5,3,0,0
130,1,2,5,0
261,1,3,0,0
464,7,9,9,1
238,1,0,0,0
193,4,1,2,0
758,3,28,4,1
245,1,3,1,0
419,2,10,3,1
281,2,4,6,1
80,0,30,2,1
822,9,20,5,1
251,1,1,0,0
54,2,1,1,0
92,1,7,0,0
635,2,9,6,1
236,0,2,0,0
228,1,0,2,0
40,2,1,1,0
379,0,3,2,0
241,2,0,2,0
224,0,3,2,0
850,6,22,10,1
176,1,1,2,0
431,6,20,10,1
988,8,16,2,1
390,2,3,6,0
429,2,1,4,0
391,2,2,6,0
820,3,20,6,1
40,2,8,1,0
267,0,3,6,0
187,4,9,5,1
535,3,11,3,1
475,1,7,7,1
849,0,30,2,1
292,5,2,1,0
799,2,5,8,1
953,8,9,4,1
21,0,2,1,0
296,3,17,0,1
231,4,0,1,0
90,2,8,1,0
960,9,19,8,1
415,3,19,9,1
177,0,1,1,0
479,2,2,5,0
646,4,5,7,1
913,8,3,8,1
282,1,1,1,0
247,10,2,6,1
32,1,2,0,0
361,9,25,9,1
167,0,2,0,0
636,7,21,7,1
48,5,9,1,0
984,6,20,4,1
137,2,0,0,0
68,0,0,2,0
237,0,7,2,0
990,3,6,5,1
35,1,0,2,0
274,4,0,2,0
177,2,1,1,0
25,2,0,2,0
429,7,26,10,1
614,0,16,5,1
277,2,0,5,0
237,2,2,1,0
869,10,8,3,1
240,8,0,9,1
192,1,9,2,0
205,7,13,7,1
629,9,7,2,1
347,0,3,1,0
898,9,8,4,1
449,5,26,4,1
248,10,3,3,1
73,4,3,0,0
655,1,28,3,1
909,1,2,3,1
261,2,0,2,0
208,2,1,1,0
42,2,1,0,0
273,2,3,2,0
140,10,21,9,1
114,0,0,0,0
963,5,24,1,1
101,2,3,1,0
608,10,8,6,1
247,2,4,5,0
49,1,2,1,0
820,10,5,9,1
195,2,1,1,0
59,5,3,1,0
405,1,1,2,0
292,2,2,2,0
182,0,1,1,0
415,6,29,6,1
108,4,16,9,1
984,4,17,9,1
829,1,6,6,1
214,2,0,6,0
240,0,3,5,0
658,6,27,10,1
28,0,1,0,0
647,2,5,1,1
243,2,1,2,0
166,0,9,0,0
129,2,1,1,0
38,1,3,2,0
78,3,3,9,1
173,1,2,1,0
165,1,1,1,0
30,0,0,2,0
691,3,26,3,1
793,3,20,3,1
43,2,1,1,0
176,0,3,0,0
487,5,6,3,1
699,4,11,10,1
279,2,1,1,0
47,2,0,2,0
560,3,23,9,1
252,2,1,1,0
212,0,3,3,0
159,2,1,2,0
359,9,7,8,1
622,9,22,7,1
440,4,4,2,0
29,1,3,2,0
834,0,9,6,1
352,4,15,4,1
222,2,0,2,0
496,2,2,2,0
172,4,18,7,1
188,9,12,6,1
429,1,2,2,0
257,1,8,0,0
706,7,27,7,1
750,2,13,6,1
64,5,9,2,1
422,5,1,0,0
322,9,2,10,1
67,0,6,5,0
776,7,28,7,1
449,2,0,8,1
115,6,4,3,1
485,1,0,2,0
542,2,22,3,1
54,2,3,2,0
93,9,22,1,1
144,0,0,9,1
208,7,15,10,1
174,6,29,5,1
84,2,2,2,0
129,1,1,2,0
192,3,16,3,1
295,2,23,4,1
190,9,22,8,1
137,7,18,7,1
363,1,2,0,0
933,3,29,4,1
889,3,16,8,1
273,2,0,0,0
83,1,0,0,0
429,1,3,4,0
495,1,1,3,0
973,5,21,8,1
830,8,5,10,1
389,2,18,5,1
119,10,13,5,1
333,7,14,7,1
754,2,12,5,1
68,2,3,2,0
238,2,2,5,0
138,0,0,2,0
454,3,7,2,1
181,8,6,6,1
493,4,30,2,1
875,3,30,8,1
141,0,12,4,1
280,1,0,1,0
567,3,1,9,1
791,3,22,7,1
139,8,2,0,1
37,1,3,2,0
92,2,5,1,1
639,3,17,3,1
793,4,1,2,1
102,4,27,10,1
197,2,3,5,0
246,1,7,0,0
644,2,16,2,1
214,0,1,2,0
385,3,25,8,1
501,7,7,5,1
313,1,10,2,0
525,3,20,1,1
215,2,0,1,0
220,5,3,1,0
198,1,3,0,0
701,1,23,7,1
57,3,24,6,1
327,2,0,10,1
197,3,3,2,0
106,0,3,0,0
597,7,16,3,1
788,1,29,5,1
444,8,0,6,1
190,2,27,9,1
466,0,28,9,1
76,9,14,10,1
283,2,0,1,0
141,1,2,3,1
245,4,8,1,0
64,1,5,2,0
144,1,4,0,0
473,1,0,1,0
58,9,6,4,1
185,2,21,6,1
839,1,27,10,1
100,1,0,0,0
226,5,8,2,0
290,10,18,0,1
171,6,14,10,1
748,3,22,3,1
417,5,13,8,1
21,0,6,1,0
530,10,11,9,1
739,5,5,5,1
147,0,3,2,0
381,5,3,2,0
135,0,3,0,1
151,2,3,6,0
65,2,8,0,0
163,2,3,0,0
33,1,2,1,0
206,0,0,0,0
85,2,0,2,0
156,1,0,1,0
299,5,27,10,1
279,0,1,0,0
300,5,3,6,1
122,5,3,3,1
764,6,14,10,1
41,0,3,2,0
55,4,10,10,1
574,9,1,5,1
176,0,2,0,0
219,0,0,0,0
236,1,10,2,0
163,6,23,3,1
96,2,0,1,0
400,0,0,1,0
140,0,2,1,0
137,2,0,6,1
988,3,14,4,1
216,7,23,10,1
193,1,1,1,0
92,3,29,10,1
858,10,30,6,1
965,10,10,8,1
83,10,5,4,1
128,0,0,0,0
414,8,11,10,1
248,4,10,1,0
355,1,27,6,1
588,7,12,4,1
269,2,0,5,0
338,0,0,0,0
731,4,12,10,1
275,1,1,6,0
467,8,1,8,1
265,0,4,3,0
208,0,3,3,0
394,8,27,9,1
133,2,1,0,1
109,2,5,2,1
292,2,0,5,0
88,2,18,8,1
236,1,19,3,1
354,5,6,4,1
626,7,4,4,1
380,2,5,2,0
127,2,30,4,1
